,car_model,year,price,fuel,year_of_manufacture
0,ritz,,5000.0,Petrol,2014.0
1,sx4,,7089.55,Diesel,2013.0
2,ciaz,,10820.9,Petrol,2017.0
3,wagon r,,4253.73,Petrol,2011.0
4,swift,,6865.67,Diesel,2014.0
5,vitara brezza,,13805.97,Diesel,2018.0
6,ciaz,,10074.63,Petrol,2015.0
7,s cross,,9701.49,Diesel,2015.0
8,ciaz,,13059.7,Diesel,2016.0
9,ciaz,,11119.4,Diesel,2015.0
10,alto 800,,4253.73,Petrol,2017.0
11,ciaz,,10223.88,Diesel,2015.0
12,ciaz,,11194.03,Petrol,2015.0
13,ertiga,,9104.48,Petrol,2015.0
14,dzire,,3358.21,Petrol,2009.0
15,ertiga,,11567.16,Diesel,2016.0
16,ertiga,,10820.9,Diesel,2015.0
17,ertiga,,11567.16,Diesel,2016.0
18,wagon r,,4850.75,CNG,2015.0
19,sx4,,3955.22,Petrol,2010.0
20,alto k10,,4253.73,Petrol,2016.0
21,ignis,,7313.43,Petrol,2017.0
22,sx4,,6567.16,Petrol,2011.0
23,alto k10,,3731.34,Petrol,2014.0
24,wagon r,,4328.36,Petrol,2013.0
25,swift,,4477.61,Petrol,2011.0
26,swift,,6194.03,Petrol,2013.0
27,swift,,8955.22,Petrol,2017.0
28,alto k10,,2910.45,Petrol,2010.0
29,ciaz,,11119.4,Diesel,2015.0
30,ritz,,4626.87,Diesel,2012.0
31,ritz,,3507.46,Petrol,2011.0
32,swift,,7388.06,Diesel,2014.0
33,ertiga,,8955.22,Diesel,2014.0
34,dzire,,8208.96,Diesel,2014.0
35,sx4,,4402.99,CNG,2011.0
36,dzire,,6940.3,Petrol,2015.0
37,800,,522.39,Petrol,2003.0
38,alto k10,,4477.61,Petrol,2016.0
39,sx4,,3358.21,Petrol,2003.0
40,baleno,,8731.34,Petrol,2016.0
41,alto k10,,3805.97,Petrol,2014.0
42,sx4,,2910.45,Petrol,2008.0
43,dzire,,8208.96,Diesel,2014.0
44,omni,,1865.67,Petrol,2012.0
45,ciaz,,11194.03,Petrol,2014.0
46,ritz,,3955.22,Petrol,2013.0
47,wagon r,,1567.16,Petrol,2006.0
48,ertiga,,8656.72,Petrol,2015.0
49,ciaz,,11567.16,Petrol,2017.0
50,fortuner,,22238.81,Diesel,2012.0
51,fortuner,,34328.36,Diesel,2015.0
52,innova,,26865.67,Diesel,2017.0
53,fortuner,,23880.6,Diesel,2013.0
54,innova,,4104.48,Petrol,2005.0
55,corolla altis,,5373.13,Petrol,2009.0
56,etios cross,,6716.42,Petrol,2015.0
57,corolla altis,,7089.55,Petrol,2010.0
58,etios g,,6119.4,Petrol,2014.0
59,fortuner,,29835.82,Diesel,2014.0
60,corolla altis,2013,10373.13,Petrol,
61,etios cross,2015,6716.42,Petrol,
62,fortuner,2014,27985.07,Diesel,
63,fortuner,2015,35074.63,Diesel,
64,fortuner,2017,49253.73,Diesel,
65,etios liva,2014,7089.55,Diesel,
66,innova,2017,29477.61,Petrol,
67,fortuner,2010,13805.97,Diesel,
68,corolla altis,2011,6492.54,Petrol,
69,corolla altis,2016,21268.66,Petrol,
70,etios liva,2014,5895.52,Diesel,
71,corolla altis,2011,6716.42,Diesel,
72,corolla altis,2013,11119.4,Petrol,
73,etios liva,2011,3955.22,Petrol,
74,etios cross,2014,7313.43,Diesel,
75,etios g,2015,5895.52,Petrol,
76,corolla altis,2013,8208.96,Petrol,
77,corolla,2004,2238.81,Petrol,
78,corolla altis,2010,7835.82,Petrol,
79,fortuner,2012,21641.79,Diesel,
80,corolla altis,2016,21985.07,Diesel,
81,etios gd,2015,7089.55,Diesel,
82,innova,2017,34328.36,Diesel,
83,innova,2015,18656.72,Diesel,
84,innova,2005,5208.96,Diesel,
85,camry,2006,3731.34,Petrol,
86,land cruiser,2010,52238.81,Diesel,
87,corolla altis,2012,8805.97,Petrol,
88,etios liva,2013,5149.25,Petrol,
89,etios g,2014,7089.55,Petrol,
